,user_review
10,"I have been watching gangster movies for over 40 years and I know a good one when I see one. This one aint bad, but it is unfortunately another wannabe gangster movie...The bad: it has all the looks and gestures of a gangster movie, but what is lacking is COHONES. This movie is lacking in real butch, macho, tough gangsters. INot terribly bad, but definitely not ringing my bells either."
11,"THE MANY SAINTS OF NEWARK (2021) *** Alessandro Nivola, Leslie Odom, Jr., Vera Farmiga, Jon Bernthal, Corey Stoll, Ray Liotta, Michela De Rossi, Michael Gandolfini, Billy Magnussen, John Magaro, (voice of Michael Imperioli) Big-screen prequel to the iconic HBO drama TV series THE SOPRANOS looks at the origin story of mob boss Tony Soprano and his 'famiglia' set against the backdrop of the race riots of 1967 thru the '70s. Show creator David Chase's screenplay with veteran series director Alan Taylor transplants the small screen's largesse successfully for the most part with a fine ensemble and a casting coup of the late, great James Gandolfini's real-life lookalike son Michael as the teenage Tony."
12,"The main question that first arises when attempting to review David Chase's Sopranos prequel is whether it can stand on its own without pre-knowledge of the original series. The answer is decidedly no. The Many Saints of Newark is strictly designed as a tribute to the HBO series and you cannot really appreciate it without having some knowledge of the beloved original.So let's judge it on those terms. One notes right away that ""Many Saints"" has a meandering plot-what looks like a series of disparate episodes haphazardly strung together. The worst plot offender is the tangential story about how the 1967 Newark riots relate to Chase's origin exploration of the DiMeo crime family.Too much time is devoted in the early part of the picture to developing this subplot. The riots are mainly introduced as a pretext for the main character in the film, Uncle ""Dickie"" Moltisanti (Alessandro Nivola) to find a way of disposing the body of his father, ""Hollywood Dick"" Moltisanti (Ray Liotta), whom he has just murdered in the usual Sopranos ""fit of rage"" (Dickie drags his dad to a drainage supply building where the riots are taking place and burns it down to make it look like his father was a victim of the escalating violence in the neighborhood).Indeed it's these ""over-the-top"" moments of violence that Sopranos' fans live for. Usually this involves a completely inappropriate response to a small slight that sets these mobsters off and into a frenzy. In addition to Dickie murdering his father, he also murders his stepmother Giueppina Moltisanti (Michela de Rossi) by drowning her at the beach while on a vacation after she confesses to having an affair with Harold McBrayer (Leslie Odom Jr.), the African-American Newark resident and one of Dickie's workers who ends up starting his own numbers racket in opposition to Dickie's operation.The film ends with another one of these typical Sopranos' explosions of violence. This time Dickie is the one who meets his maker not at the hands of the usual suspects-the fledgling African-American gang now muscling in on the Dimeo crime family's territory-but by Uncle Junior (Corey Stoll) himself, another ""victim"" of one of those absurd slights (Junior felt humiliated when Dickie laughed at him after falling down on church steps hurting his back).Nivola has the best role here as Uncle Dickie, a stand-in for the older Tony Soprano from the original TV series. Chase attempts to humanize the character by depicting his generous side (he attempts to make amends after murdering his father by doing good deeds such as sponsoring a baseball team for blind kids).One must appreciate the performance of Michael Gandolfini, son of the late James Gandolfini who played the adult Tony Soprano. As the young Tony, Michael not only looks like his father but manages to capture his mannerisms. The idea is to show Michael as a teenager before he commits to a life of violence-we see signs of his future misconduct in his commission of misdemeanors such as stealing the answers to a geometry test at school.Despite Chase's accurate vision of the teenage Michael, not enough happens with him of much consequence. His best moments occur when he interacts with his mother Livia (Vera Farmiga), who does a great job in conveying how she contributed to Tony's eventual decision to embrace a life of violence and amorality.The depictions of the rest of the main Soprano characters in their early incarnations prove to be a mixed bag. I don't see much being done with Johnny Soprano (Tony's father) who is released after four years in prison along with Paulie Walnuts (so colorful in the original series but totally insignificant here) along with Silvio, the devoted confederate (a mere caricature this time around).Better is Stoll as Uncle Junior and Liotta in a dual role of Hollywood Dick and his twin brother Sally, the wise convict who gives Dickie good advice, despite being incarcerated in the penitentiary for life.The best Sopranos' episodes kept you on the edge of your seat from start to finish. Here there are only flashes of brilliance with little organic connection between one plot point and another. I also found it a bit disappointing that the Harold character gets away with the pain he inflicts on the DiMeo family. In the original series the gang would have found a way to retaliate to maximum effect.The Many Saints of Newark is a decent enough tribute to the original TV series and has its bright moments. But not all the characters are drawn cleverly enough to prompt us to heap accolades upon it ad infinitum."
13,"Remember when ""The Sopranos"" took the television show to new narrative heights? Remember when each new episode was more anxiously awaited than any new movie? Remember when you wished more movies could be told as TV series or miniseries on HBO or Showtime, so that they could go into more detail, take their time developing.It is ironic that the show that surpassed film would then go back to that form, and all the more ironic that the resultant film doesn't hold a candle to the TV show. We hung on every moment of ""Sopranos"". People watch and rewatch scenes noticing tell-tale placement of actors in similar positions to where the actors were in prior scenes. They go over dialogue, building profiles of characters who never even appear on the show, but we get to know them better than most on-screen characters in other shows.The legendary Dickie Moltisanti was oft mentioned in the show, and here we finally get to see him, played by one of few Italian-American actors who aren't famous for mob roles, Alessandro Nivola. For such a revered figure, he turns out to be a dead end, not emerging with any discernible personality. That should be okay though, because of course this movie shows us younger versions we all know and oddly love, such as Silvio Dante, Paulie Walnuts, Uncle Junior. Except - wait a minute. None of them say or do anything interesting here. The guy who plays Silvio particularly just seems to be trying as hard as he can to ape Steve Van Zandt. You can never take him seriously as the character. And how is Billy Magnussen's Paulie Walnuts so boring? He stole every scene on ""The Sopranos"". Here he does nothing.""The Sopranos"". So many great lines. So many great scenes. You can watch YouTubes of them for hours without getting bored. ""The Many Saints of Newark"" barely captured my interest at all."
14,"The film follows the Sopranos starting in the late 60's. We watch the major influences on the life of Tony during the racial tension of Newark.Having not seen the series, I am sure I missed some nuances. It was an interesting crime family film.Guide: F-word, sex, nudity (Michela De Rossi)"
15,"Eddie Brock gets a chance to interview Cletes Kasady (Woody Harrelson) abused as a child and serial killer as an adult. In looking at the graffiti on his cell walls, Venom is able to figure out where the bodies are buried. The death penalty is reinstated as Cletus head for lethal injection. Cletus also has a love interest in Francis Barrison (Naomie Harris) aka ""the shriek: because of her high pitch deadly voice. On Brock's final visit to Cletus, he infects the serial killer with a piece of Venom which turn him into Carnage who goes on a rampage of revenge.I didn't like this as much as the first film. The climax fight scene had multiple sides and lasted an inane amount of time with equally inane action. I guess this is what audiences' want. I liked seeing Woody not acting old. I thought someone like Octavia Spencer would have made an interesting Francis Barrison.Guide: 1 F-word. No sex or nudity unless you notice that Venom doesn't wear pants."
16,"Venom: Let there be Carnage (2021) is a movie the wife and I saw last week in theatres. The movie focuses on serial killer Cletus Cassidy and his rough upbringing. When Eddie Brock is chosen to be his reporter, and Cassidy takes a bite of him, the symbiote suit on Brock breaks off and infects Cassidy creating a ruthless killer like never seen before. Can Brock and Venom stay on the same page long enough to bring him down? This movie is directed by Andy Serkis (Heavenly Sword) and stars Tom Hardy (Bronson), Woody Harrelson (Natural Born Killer), Naomi Harris (28 Days Later), Michelle Williams (Blue Valentine) and Stephen Graham (Snatch). The storyline for this is very compelling and is well written from a plot to character standpoint. The dialogue is first rate and hilarious as are the special effects, which are fantastic. The CGI fits the comics to perfection. The action scenes from beginning to end are wondeful; my one complaint, this is the darkest and most violent and gruesome Marvel comic series, and every kill and gore sequence is hidden by random things like cut away scenes or random tornados 🌪 to hide what are gruesome kills in the comic. The dialogue makes up for it but the lack of showing the kills keeps this from being the masterpiece it had the potential to be. This is a worthwhile sequel I would score a 7.5/10."
17,"When we got to the climax and it felt like the movie just breezed by, I immediately added another star to my rating. A short super(anti)hero movie? AMAZING!Venom: Let There Be Carnage isn't a great movie and has ALL the clichés of most superhero movies, but it was enjoyable. I found myself laughing a lot at Venom's one-liners and again, I enjoyed how SWIFT this movie was. That was refreshing.Despite some exposition, this is one of those sequels YOU MUST see the first one to understand this universe. And that's too bad. I rated the first one 2/5 stars and didn't care for it much. This is absolutely the better of the two.Eddie Brock & Co. - or the alien symbiote, Venom - are still fighting over superiority when they have a break-up. Simultaneously, the guy who used to bartend at Cheers turns into both a supervillain and Venom's greatest foe. Will Eddie make up with Venom in time to stop the Carnage?Yes, this movie has the age-old Superhero trope I hate so dearly: ""I don't wanna be a superhero anymore! I quit!"" usually found in the second chapter. Superman II did it, The Dark Knight did it, Iron Man 2 did it, hell, Spider-Man 2 did it, just to name a few of hundreds of examples. I hate it with a passion. So, when it happened here, I tried to remain calm. Mercifully, when Venom's on his own, he does have some fantastic and hilarious scenes. This one gets a pass because we hardly ever get to see the other side of this equation. All we usually get is the whiney non-superhero.That and some of the lazy writing's are probably the most problems of this. Everything else was fine or actually good. No one was terrible and the special effects were 10x better than the original. Recommended.***Final Thoughts: My friend with me said: We have to wait for the mid-credit scene. The second he told me that, I knew 100% who was showing up. Despite that, listen to my friend. You need to see it."
18,"Venom: Let there be Carnage (2021) is a movie the wife and I saw last week in theatres. The movie focuses on serial killer Cletus Cassidy and his rough upbringing. When Eddie Brock is chosen to be his reporter, and Cassidy takes a bite of him, the symbiote suit on Brock breaks off and infects Cassidy creating a ruthless killer like never seen before. Can Brock and Venom stay on the same page long enough to bring him down? This movie is directed by Andy Serkis (Heavenly Sword) and stars Tom Hardy (Bronson), Woody Harrelson (Natural Born Killer), Naomi Harris (28 Days Later), Michelle Williams (Blue Valentine) and Stephen Graham (Snatch). The storyline for this is very compelling and is well written from a plot to character standpoint. The dialogue is first rate and hilarious as are the special effects, which are fantastic. The CGI fits the comics to perfection. The action scenes from beginning to end are wondeful; my one complaint, this is the darkest and most violent and gruesome Marvel comic series, and every kill and gore sequence is hidden by random things like cut away scenes or random tornados 🌪 to hide what are gruesome kills in the comic. The dialogue makes up for it but the lack of showing the kills keeps this from being the masterpiece it had the potential to be. This is a worthwhile sequel I would score a 7.5/10."
19,"5/10 - god awful editing/pacing and such a weak story that I'm surprised Sony okayed it, Venom: Let There Be Carnage's only highlights are the plethora of aggressive visuals and its supporting cast."
20,"The visuals are pretty impressive. Even though the colour palette is monotonous, the visuals are beautiful and captivating. The story is ending, albeit slow at times. I really like Timothee Chamalet's character. Overall, I liked it."
21,"Dune is a new film adaptation of Frank Herbert's book. This film adaptation is directed in part written and produced by Denis Villeneuve, the director of Arrival and Blade Runner 2049.Set in the distant future, the film is about Paul Atreides (Timothée Chalamet), the future heir to the house of Atreides. His family trades in the valuable commodity called spice, which they get from the dangerous desert planet Arrakis. Other houses try to take control of spice themselves with a hostile takeover so that they get a monopoly over here. Paul must try to stop these houses, but isn't sure if he can use the help of the local full of Arrakis.Frank Herbert's science fiction book has already been filmed in 1984 and later in 2000 there was also a short TV series of the same book. These film adaptations were not a success. As a fan of the book, director Denis Villeneuve is now trying to film the story in a dignified way. Despite the fact that Denis Villeneuve and the other screenwriters try to convey the story in a clear way, it can still seem a bit unclear to people who are not familiar with Frank Herbert's Dune story. For these people, it can seem like they are watching season four of Game of Thrones, for example, without having seen the previous seasons. Hopefully with the planned sequel they can give more clarity to the story of Frank Herbert's book without you having to read it first to understand the film better. If successful, the Dune film series could come across as the new Star Wars film of our time.What Denis Villeneuve has more luck with are the film effects that can be used in movies these days. Together with the visual effects team, he manages to portray the film beautifully and believably. With a good eye for detail, they know how to bring out the different houses with their rituals. Except for the battle over who has control over the spice raw material, you don't know clearly why the different houses attack each other.As the lead character, Timothée Chalamet still seems a bit ignorant, which may be because his character is now allowed to meddle in the affairs of his family's house for the first time. The better acting comes more from the adult film cast like Oscar Issac, Rebecca Ferguson and Josh Brolin. Other cast members also play more smaller roles, some of which don't really have a clear build-up. Cast members like Jason Momoa or Zendaya still play a minor role in this movie, but maybe some of them will get more opportunity and time to develop their characters in the sequel."
22,"Mammoth film, with wonderful settings and music. A special mention must be given to the special effects which are breathtaking. The film, however, has two main problems, the first is its monstrous slowness which makes it really difficult to watch because some scenes could easily be cut without impacting the perception of the film, the second problem is the ending because the latter is missing as this film is only an introduction and for this reason when you leave the theater you feel like you have wasted only time in a film that was absolutely nothing."
23,"I've watched the original David Lynch version of 'Dune' a couple of years ago, well it's a bit far-fetched to say that I've watched it - more like the first 40 minutes after which I got bored and quit the movie. And I have to admit, if I weren't in the theater tonight I would walk out of this one too.The bell rang early on when I saw PART ONE on the movie screen and I thought, great, this is going to be one of those movies that drag along for eternity only to be continued some other time later but was there really anything to continue? What have I learned in this 2,5 hour pilot of the miniseries called Dune? Not much.The characters are paper thin as usual and leave no desire to follow any of them. Josh Brolin, Dave Bautista, Jason Momoa and even Oscar Isaac are there only because they're tough looking fellas who (surprise surprise!) play some tough looking characters. Rebecca Ferguson's character is plain annoying and doesn't do absolutely anything to move the plot while being a main character. Timothee Chalamet is the only one to provoke any kind of empathy toward a viewer but he wears only one face for the duration of the movie and barely scratches the surface of his own character who is supposed to be deeper than he looks but his performance, along with many others, leaves it all to guessing there could've been more (but wasn't).The whole movie builds a concept to the bigger story but in the end turns out to be just 2,5 hours of running around, changing one desert after another, buried in semi-darkness most of the time and therefore killing most of the great visuals it has, filled with repetitive lines and Hans Zimmer's trademark thundering soundtrack that you easily get tired of by the middle of the movie.After all I don't get why did the people involved think this would be a good idea to remake a mediocre movie from 40 years ago and not do it justice by making it at least better?"
24,It was a good film. Not the second coming of Christ as many procalime it to be but it was intersting and simply perfect eye candy. Denis Villeneuve truely knows how to make a film visually attractive and he is quite in line with Christopher Nolan in that regard. Also his directing style more and more becomes similiar to that of Nolan although he is a little darker.I never saw the origianl and never had the ambition to do so I cant really compare them but I also dont think they were supposed to be compareable as this is a new interpretation of the source novel.Acting wise it was good. I liked Timothee Chalament who made more out of his character than the screenplay offered him to do. Nice character development. Rebecca Ferguson is always good to see in a majro role. She had some really good moments. Zendaya was a bit one note but very pretty on the eyes. Josh Brolin was kind of wasted although he had a very interesting approach for his character. Oscar Isaac and Jason Marmoa were both good. The best of the supporting cast was undoubtly Javier Bardem.I loved the cinematography and the visual effeets are some of the best of the recent years. Technically it was clearly a masterpiece and I dont think anything will beat it in this regard in 2021.
25,"With plot points that are reminiscent of ""The Truman Show"", ""Pleasantville"", ""The Matrix"", ""Groundhog Day"", ""Wreck-it Ralph"" , the video game ""Grand Theft Auto"", among others, you might think that this film feels derivative. But the film is so imaginative, so fresh, so creative, that it never feels that way.Ryan Reynolds stars as Guy, a background character in a GTA-styled game who doesn't realize he lives in an unreal world (for a very clever reason that I won't mention here). He meets a player-drive character (played by Jodie Comer) and his life changes. Lil Rel Howery plays Buddy, Guy's best friend.We have seen better displays of CGI, but this film has a plot that complex, yet easy to follow. Creating the film, with its levels of graphics, real action, and effects must have been extraordinarily complicated. It all pays off, because it is so much fun to watch. Repeated viewing will doubtlessly reveal more of the complexity.Reynolds is perfect as the golly-gee innocent who feels stirrings of consciousness. And Comer captures the absurd-yet-believable concept of the real woman who might be falling for an NPC."
26,"'Free Guy (2021)' feels as though it's been made by people who have never actually played a video-game. It's the cinematic equivalent of those pre-rendered mobile game adverts that pretend to present gameplay but don't actually represent the game they're trying to sell at all. Though there are a couple of interesting ideas centred around the A. I. that makes Reynold's Guy able to go against his code, the piece just doesn't do anything with them. It doesn't really make sense and there's no semblance of cohesion or believability to the game that makes up most of its runtime. I mean, who is 'Free City' for and what do you do in it? It's not PvP from the looks of it, but everyone freaks out when an NPC actually presents a challenge to a player. God forbid a player gets killed by an enemy in a game, right? However, the fact that it lacks a proper sense of logic isn't its biggest issue, although it is undeniably irritating that a movie which is supposed to celebrate video-games clearly doesn't understand them and also partakes in the kind of banal 'gamer' stereotyping that perforates pretty much every piece of traditional media about the subject. No, the biggest issue is that, for me, it simply isn't fun. It's quite the opposite, usually. The amount of cringeworthy moments are nearly innumerable and its message is incredibly hypocritical considering that it lambasts big-budget games which are fuelled by mindless chaos and exist only to make money from a target audience that their developers clearly don't respect but it's a big-budget movie which is fuelled by mindless chaos and exists only to make money from a target audience that its creators clearly don't respect. Ryan Reynold's on-screen persona, which is essentially the same in every comedic film in which he appears, is also incredibly annoying and does the opposite of elicit laughter. There are some relatively impressive visual effects - even though nothing feels tangible and one or two are actually rather disturbing - and there are a couple of action sequences which are relatively well put together. However, the overall experience is just dull, despite all of its in-your-face noise. It's just such a corporate attempt, a movie designed by committee. It also has some incredibly disconcerting fan service, the sort that seems to be replacing actual content more and more these days. Sadly, a lot of people seem to be lapping it up. Of course, if you enjoy this film, then good for you; I'm not saying you shouldn't. I'm simply saying I don't. Despite the occasional highlight, it's an uninteresting and uninspired affair overall. 4/10."
27,"I liked the nostalgia and love and effort that was put in Ready Player One, the book. The film was really bad in comparison. And I loved Deadpool, as a satirical middle finger to franchised superhero formulas, but then they did the sequel, because formulaic Deadpool brought money. So when I review Free Guy I am both expressing my satisfaction regarding the seed idea and the disappointment that it never went where it could have gone. Long story short, the film is long, formulaic and only occasionally funny. All the fresh bits were in the trailers and the rest was over the top filler and CGI.I couldn't care less how many celebrity friends come and cameo in your film, nor do I care about the silly faces that you can make if the story is simplistic and most of your movie is video game special effects rendered better. This could have been much more than a real life adaptation of a Lego movie, but you settled!Bottom line: at two hours long, I felt that it lasted forever. It is entertaining, but a requirement to enjoying the film is to turn off your brain completely. Some cameos and hat tips are funny, I give you that, but the concept is already old and tired while the video game references feel from the time Ryan Reynolds spent time on Counter Strike and Second Life and WoW. I will rank this average, but in my heart I know that it is a failure."
28,"I did not expect that, this was chosen literally for convenience, I'd seen the trailers, and didn't think I'd enjoy it, it is so good. I'm sometimes hard to please with films, but this is definitely worth seeing. It's bonkers, it's crazy, but it's funny, and actually pretty moving at times, a more heart warming film then you'd think it would be.Some pretty amazing special effects, it is never boring at any stage.Ryan Reynolds is terrific, and fans if his will appreciate him being here, he's great, as is Comer.I didn't expect it to be this good, 8/10."
29,". . . the extraterrestrial aliens are probably not all well-intentioned candy-munching benign fluff balls, FREE GUY suggests that A. I. entities may NOT have Humanity's best interests and prosperous well-being ingrained as their Prime Objective. Instead, it's more logical to think that any ""Artificial"" Intelligence will be inherently Evil, FREE GUY suggests. This revelation is particularly troubling given the fact that the U. S. Constitution does NOT require America's Presidents to provide any biological proof or test results showing that they actually possess the human genome. After a robotic Algorithm won the popular vote in 2000 (but was denied White House entry due to the confusing Florida butterfly ballot), who's to say that we were not ruled from 2017 until 2021 by a fiendish AI ""businessman non-playable character""? Many of these are seen during FREE GUY (though none of them suggest that people gargle with bleach)."
